Parameter,Active,Default_value,VISA_Command,validated
COMMANDS/AMPLITUDE/DO/LEVEL/REFERENCE/-95/ANY/ANY,true,-95,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
COMMANDS/AMPLITUDE/DO/LEVEL/REFERENCE/0/ANY/ANY,true,0,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
COMMANDS/AMPLITUDE/DO/STATE/GAIN/OFF/ANY/ANY,true,OFF,:INPut:GAIN:STATe,NOT YET
COMMANDS/AMPLITUDE/DO/STATE/GAIN/ON/ANY/ANY,true,ON,:INPut:GAIN:STATe,NOT YET
COMMANDS/AMPLITUDE/GET/INPUT/ATTENUATION/AUTO/ANY/ANY,true,?,:INPut:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/GET/INPUT/GAIN/STATE/ANY/ANY,true,?,:INPut:GAIN:STATe,NOT YET
COMMANDS/AMPLITUDE/GET/INPUT/POWER/ATTENUATION/ANY/ANY,true,?,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/GET/INPUT/POWER/GAIN/ANY/ANY,true,?,:POWer:GAIN,NOT YET
COMMANDS/AMPLITUDE/GET/REFERENCE LEVEL/TRACE/Y/ANY/ANY,true,?,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
COMMANDS/AMPLITUDE/NAB/INPUT/POWER/HIGH SENSITIVE/Keysight Technologies/N9340B,true,3,:DISPlay:WINDow:TRACe:Y:RLEVel?;:POWer:ATTenuation?;:POWer:GAIN?,NOT YET
COMMANDS/AMPLITUDE/NAB/INPUT/POWER/HIGH SENSITIVE/Keysight Technologies/N9342CN,true,3,:DISPlay:WINDow:TRACe:Y:RLEVel?;:POWer:ATTenuation?;:POWer:GAIN?,NOT YET
COMMANDS/AVERAGE/DO/TRACE/STAT/OFF/ANY/ANY,true,OFF,:AVER:TRAC1:STAT,NOT YET
COMMANDS/AVERAGE/DO/TRACE/STAT/ON/ANY/ANY,true,ON,:AVER:TRAC1:STAT,NOT YET
COMMANDS/AVERAGE/NAB/TRACE/STAT_COUNT,true,,,
COMMANDS/AVERAGE/NAB/TRACE/STAT_COUNT/Default_value/ANY/ANY,true,2,:AVER:TRAC1:STAT?;:AVER:TRAC1:COUNT?,NOT YET
COMMANDS/AVERAGE/SET/TRACE/STAT_COUNT,true,,,
COMMANDS/AVERAGE/SET/TRACE/STAT_COUNT/Default_value/ANY/ANY,true,25,:AVER:TRAC1:COUNT,NOT YET
COMMANDS/BANDWIDTH/DO/RESOLUTION/AUTO/ON/ANY/ANY,true,ON,:SENSe:BANDwidth:RESolution:AUTO,NOT YET
